,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
LogisticRegression,0.88,0.9130434782608695,0.9333333333333333,0.9891304347826086,0.9933333333333333
RandomForest,0.9733333333333334,1.0,0.9866666666666667,0.9891304347826086,1.0
SVM,0.6666666666666666,0.6521739130434783,0.62,0.9891304347826086,1.0
DecisionTree,0.9333333333333333,0.8913043478260869,0.9866666666666667,0.9456521739130435,1.0
KNN,0.78,0.6956521739130435,0.72,0.9891304347826086,1.0
